"year","week","day","N","Users","AnyOutdoor","num.male","num.female","age.median","age.IQR","Rec","Peri","Other_outdoor","Unknown_risk","median.temp","num.rainy","rural","med.small.metro","large.metro","median.SH.index","median.cases","Garden","Mow_lawn","PicnicYard","YardPlay","Brush_clear","Job","ParkPlay","PicnicPark","Camp","Hike","Bike","Hike_Walk","month","covid","percent.rural","percent.med.small.metro","percent.large.metro","percent.rainy","percent.female"
"2020",19,2020-05-10,38,38,27,13,25,58,18,2,18,8,1,4.548522,11,12,18,8,9.03232708690663,109,6,2,5,7,2,0,1,0,0,0,0,1,"5","2post",0.315789473684211,0.473684210526316,0.210526315789474,0.289473684210526,0.657894736842105
"2020",19,2020-05-11,41,41,31,10,31,55.5,23.5,3,22,7,2,4.746688,9,12,18,11,15.0818240028305,118,9,2,2,8,6,0,1,0,0,1,0,2,"5","2post",0.292682926829268,0.439024390243902,0.268292682926829,0.219512195121951,0.75609756097561
"2020",19,2020-05-12,44,43,39,11,33,59,25,4,26,8,1,5.885244,0,16,17,11,10.9825448026102,119,11,2,3,8,8,0,1,0,0,1,0,2,"5","2post",0.363636363636364,0.386363636363636,0.25,0,0.75
"2020",20,2020-05-13,41,41,36,17,24,56,24.25,5,28,13,0,9.324696,17,11,19,11,9.49168286924854,378,15,4,4,5,11,0,2,0,0,1,1,1,"5","2post",0.268292682926829,0.463414634146341,0.268292682926829,0.414634146341463,0.585365853658537
"2020",20,2020-05-14,43,43,37,15,27,56,21.5,7,22,14,2,13.18929,21,16,16,11,9.61241108086721,239,10,2,3,6,11,0,5,0,0,1,0,2,"5","2post",0.372093023255814,0.372093023255814,0.255813953488372,0.488372093023256,0.627906976744186
"2020",20,2020-05-15,35,34,34,10,25,61,24.5,3,28,14,0,13.7432,12,13,15,7,7.74039705183342,83.5,11,2,7,7,13,0,1,0,0,0,1,0,"5","2post",0.371428571428571,0.428571428571429,0.2,0.342857142857143,0.714285714285714
"2020",20,2020-05-16,46,46,44,16,30,55,27,6,34,13,0,14.230455,18,15,18,13,5.88181261545135,223,15,7,8,13,9,0,2,0,0,0,2,0,"5","2post",0.326086956521739,0.391304347826087,0.282608695652174,0.391304347826087,0.652173913043478
"2020",20,2020-05-17,47,47,33,17,30,58,22.75,2,17,13,2,13.25596,30,18,17,12,6.16734584767161,251.5,10,1,4,3,10,0,1,0,0,0,0,0,"5","2post",0.382978723404255,0.361702127659574,0.25531914893617,0.638297872340426,0.638297872340426
"2020",20,2020-05-18,41,40,33,15,26,56,29.5,4,16,14,3,12.3305,14,15,16,10,15.9027704051362,202,6,2,4,3,7,0,3,0,0,0,0,3,"5","2post",0.365853658536585,0.390243902439024,0.24390243902439,0.341463414634146,0.634146341463415
"2020",20,2020-05-19,45,45,35,15,30,55.5,25,4,21,9,1,13.2977,3,16,16,13,10.703652646239,95.5,9,3,3,6,2,0,2,0,0,1,1,2,"5","2post",0.355555555555556,0.355555555555556,0.288888888888889,0.0666666666666667,0.666666666666667
